3661 SORTSTMT:                MISSING RIGHT PARENTHESIS IN SORT STATEMENT.      
3671 MERGESTMT:               MISSING LEFT PARENTHESIS IN MERGE STATEMENT.      
3681 MERGESTMT:               MORE THAN SEVEN OR LESS THAN TWO FILES TO MERGE.  
3691 MERGESTMT:               MISSING RIGHT PARENTHESIS IN MERGE STATEMENT.     
4001 MONITOR DECLARATION      MISSING FILE IDENTIFIER IN MONITOR DECLARATION    
4011 MONITOR DECLARATION      MISSING LEFT PARENTHESIS IN MONITOR DECLARATION   
4021 MONITOR DECLARATION      IMPPROPER SUBSCRIPT FOR MONITOR LIST ELEMENT      
4031 MONITOR DECLARATION      IMPROPER SUBSCRIPT EXPRESSION DELIMITER IN        
4032                          MONITOR LIST ELEMENT                              
4041 MONITOR DECLARATION      IMPROPER NUMBER OF SUBSCRIPTS IN MONITOR          
4042                          LIST ELEMENT                                      
4051 MONITOR DECLARATION      LABEL OR SWITCH MONITORED AT IMPROPER LEVEL       
4061 MONITOR DECLARATION      IMPROPER MONITOR LIST ELEMENT                     
4071 MONITOR DECLARATION      MISSING RIGHT PARENTHESIS IN MONITOR DECLARATION  
4081 MONITOR DECLARATION      IMPROPER MONITOR DECLARATION DELIMITER            
4091 DUMP DECLARATION         MISSING FILE IDENTIFIER IN DUMP DECLARATION       
4101 DUMP DECLARATION         MISSING LEFT PARENTHESIS IN DUMP DECLARATION      
4111 DUMP DECLARATION         SUBSCRIPTED VARIABLE IN DUMP LIST HAS WRONG       
4112                          NUMBER OF SUBSCRIPTS                              
4121 DUMP DECLARATION         SUBSCRIPTED VARIABLE IN DUMP LIST HAS WRONG       
4122                          NUMBER OF SUBSCRIPTS                              
4131 DUMP DECLARATION         IMPROPER ARRAY DUMP LIST ELEMENT                  
4141 DUMP DECLARATION         ILLEGAL DUMP LIST ELEMENT                         
4151 DUMP DECLARATION         MORE THAN 100 LABELS AS DUMP LIST ELEMENTS        
4152                          IN SINGLE DUMP DECLARATION                        
4161 DUMP DECLARATION         ILLEGAL DUMP LIST ELEMENT DELIMITER               
4171 DUMP DECLARATION         MISSING DUMP LABEL IN DUMP DECLARATION            
4181 DUMP DECLARATION         MISSING COLON IN DUMP DECLARATION                 
4191 DUMP DECLARATION         IMPROPER DUMP DECLARATION DELIMITER               
4201 READ STATEMENT           MISSING LEFT PARENTHESIS READ STATEMENT           
4211 READ STATEMENT           MISSING LEFT PARENTHESIS IN READ REVERSE          
4212                          OR READ SEEK STATEMENT.                           
4221 READ STATEMENT           MISSING FILE IN READ STATEMENT                    
4241 READ STATEMENT           IMPROPER FILE DELIMITER IN READ STATEMENT         
4251 READ STATEMENT           IMPROPER FORMAT DELIMITER IN READ STATEMENT       
4261 READ STATEMENT           IMPROPER DELIMITER FOR SECOND PARAMETER IN        
4262                          READ STATEMENT                                    
4271 READ STATEMENT           IMPROPER ROW DESIGNATOR IN READ STATEMENT         
4281 READ STATEMENT           IMPROPER ROW DESIGNATOR DELIMITER IN READ         
4282                          STATEMENT                                         
4291 READ STATEMENT           MISSING ROW DESIGNATOR IN READ STATEMENT          
4301 READ STATEMENT           IMPROPER DELIMITER PRECEDING LIST IN READ         
4302                          STATEMENT                                         
4311 ACTION LABEL             IMPROPER END OF FILE LABEL IN READ OR SPACE       
4312                          STATEMENT                                         
4321 ACTION LABEL             IMPROPER PARITY LABEL IN READ OR SPACE            
4322                          STATEMENT                                         
4331 ACTION LABEL             MISSING RIGHT BRACKET IN READ OR SPACE            
4332                          STATEMENT.                                        
4341 SPACE STATEMENT          MISSING LEFT PARENTHESIS IN SPACE STATEMENT       
4351 SPACE STATEMENT          IMPROPER FILE IDENTIFIER IN SPACE STATEMENT       
4361 SPACE STATEMENT          MISSING COMMA IN SPACE STATEMENT                  
